id,title,description,availability,condition,price,link,image_link,brand,google_product_category
127070,XS Energy Drink 12 oz – Variety Case,Twelve 12 oz. cans mixing the most popular XS Energy Drink flavors in one convenient case. Packed with B-vitamins and caffeine for a sugar-free energy boost.,in stock,new,37.00 USD,https://myshop-essentials.vercel.app/product.html?id=127070,https://www.amway.com/medias/127070-en-US-690px-01?context=bWFzdGVyfGltYWdlc3w1MzM3NzB8aW1hZ2UvcG5nfHN5cy1tYXN0ZXIvaW1hZ2VzL2hjYi9oZjEvOTUzNzY4MjM3NDY4Ni8xMjcwNzAtZW4tVVMtNjkwcHgtMDF8OTA5MGMwYThiMTgyMzFmNTBjZGUwZGM5MGVjMzFiYzAyMGVkODhiODk2NzNjN2Y5MDk4NGFkMGJlM2VmYzg3Ng,XS,Energy Drinks
110922,Nutrilite Twist Tubes 2GO Variety Pack,"Portable powdered drink mix twist tubes in three varieties: Antioxidant (Mango Citrus), Immunity (Strawberry Kiwi), and Joint Health (Raspberry). Just add to water.",in stock,new,24.00 USD,https://myshop-essentials.vercel.app/product.html?id=110922,https://www.amway.com/medias/110922-en-US-690px-01?context=bWFzdGVyfGltYWdlc3w1MDEyNjB8aW1hZ2UvcG5nfHN5cy1tYXN0ZXIvaW1hZ2VzL2hkNi9oMjEvOTU1Njk4MDQwMDE1OC8xMTA5MjItZW4tVVMtNjkwcHgtMDF8YWZiNjFjZTgzOWZhMmVlMDRhMGFhOGIzM2ViNWFlY2Y4OThjZjc5MDNhNWNlYzM5ZTFlZjhjZTdiODU1YzcyNA,Nutrilite,Vitamins & Supplements
125897TR,G&H Protect Bar Soap,"A mild, plant-based bar soap that fights body odor and removes dirt and impurities. Formulated with prebiotics, rosemary, glycerin, and Nutrilite-approved green tea extract. 6 bars x 150g (900g total).",in stock,new,29.00 USD,https://myshop-essentials.vercel.app/product.html?id=125897TR,https://www.amway.com/medias/125897TR-en-US-690px-01?context=bWFzdGVyfGltYWdlc3wxMDEwNjl8aW1hZ2UvcG5nfHN5cy1tYXN0ZXIvaW1hZ2VzL2g1Ny9oNjUvOTY5ODgzNzg4OTA1NC8xMjU4OTdUUi1lbi1VUy02OTBweC0wMXw2ODE1MTUwNDE2ZmFlMzM4ZmVlZWQ5MzkyM2M4ZTI2YjQxOWM4ZGI4MjBhZmRlZjA3OTY0MTk3ZGRiYjhkZmUx,G&H,Soaps
124106,Glister Multi-Action Fluoride Toothpaste,"Fluoride toothpaste that whitens teeth, fights cavities, removes plaque, and freshens breath with regular brushing.",in stock,new,7.75 USD,https://myshop-essentials.vercel.app/product.html?id=124106,https://www.amway.com/medias/124106-en-US-690px-01?context=bWFzdGVyfGltYWdlc3w0MTQ3OXxpbWFnZS9wbmd8c3lzLW1hc3Rlci9pbWFnZXMvaGFlL2hjMC85NTE4MTY3MDMxODM4LzEyNDEwNi1lbi1VUy02OTBweC0wMXwzZjk1MTcxYjIxMTcyMDdmYTY4NTJkNjE0MmU4NzRmYzU5ZTk4MTQ1NTBjOWE3NmVjOTZlZGExNWM3YzcwNWZm,Glister,Toothpaste
110601,XS CocoWater Hydration Drink Mix - Strawberry/Watermelon,"Hydrating drink mix with 12% coconut water, B vitamins, and antioxidant vitamins A, C, and E in a strawberry-watermelon flavor.",in stock,new,28.00 USD,https://myshop-essentials.vercel.app/product.html?id=110601,https://www.amway.com/medias/110601-en-US-690px-01?context=bWFzdGVyfGltYWdlc3w3Mjg1MXxpbWFnZS9wbmd8aW1hZ2VzL2hmMS9oMjkvOTM1NTE4NDk5NjM4Mi5wbmd8ZGYxMjMwNDZmNjY2YmQ4ZDFiMWJmZTY3YThjMTQ5YTYzODkwYmRjNzM3MTllOTU2MjBhN2I3NWQ2Nzg0MjgxZQ,XS,Coconut Water
124674D,Artistry Go Vibrant Sheer Lip Balm,"Deeply moisturizing lip balm with a sheer, satin-gloss finish. Nourishes lips with White Chia Seed oil, Shea Butter, and Aloe Vera extract.",in stock,new,28.00 USD,https://myshop-essentials.vercel.app/product.html?id=124674D,https://www.amway.com/medias/124674D-en-US-690px-01?context=bWFzdGVyfGltYWdlc3wzNjg2OHxpbWFnZS9wbmd8aW1hZ2VzL2hmNi9oNjIvOTQwMjI2NDc0ODA2Mi5wbmd8NThmYmVkYzNlMTljOWYzMTE2OTE4MzA2OGVjNzY1MTUwM2Y1M2RmNjNhODg3NWFiMTBiNGQ2YTE3OWJkNjNmMw,Artistry,Lip Care
127845D,Artistry Go Vibrant 3-in-1 Volume Mascara,"A 3-in-1 mascara with an easy-to-twist brush that volumizes, lifts, and separates lashes, infused with botanicals and vitamins C and E.",in stock,new,28.00 USD,https://myshop-essentials.vercel.app/product.html?id=127845D,https://www.amway.com/medias/127845D-en-US-690px-01?context=bWFzdGVyfGltYWdlc3w0NjAzOHxpbWFnZS9wbmd8c3lzLW1hc3Rlci9pbWFnZXMvaDExL2hjMS8xMDE4NDkwNjQwNzk2Ni8xMjc4NDVELWVuLVVTLTY5MHB4LTAxfDUwNmRkNzhhOWU5MDBhYWFiYjhmZTlkZjdlNmI1NjlhMGIwNjRkMTU1ZTFhYjliNzIwZDdkN2NmNzU3MDRmNjE,Artistry,Mascara
127481D,Artistry Go Vibrant Light Up Liquid Lip Glow - Desert Rose 102,"Liquid lip color with a glowy, glossy finish and 10-hour wear. Features a built-in LED light and mirror for easy application anywhere.",in stock,new,24.00 USD,https://myshop-essentials.vercel.app/product.html?id=127481D,https://www.amway.com/medias/127481D-en-US-690px-01?context=bWFzdGVyfGltYWdlc3w4OTI3MXxpbWFnZS9wbmd8c3lzLW1hc3Rlci9pbWFnZXMvaDA2L2g3ZC85ODgwNDUxMDg4NDE0LzEyNzQ4MUQtZW4tVVMtNjkwcHgtMDF8NjY0N2JkYmU5MzhlYzY1OTJmZDk1OGY0NDNhNzUxNDBjNGRhNzY0OWI1OTFjYTI3NTg4MzE1OTJhYzlhMjVlZg,Artistry,Lip Gloss
109745,Nutrilite Vitamin C Extended Release,"Extended-release vitamin C tablet made with acerola cherry, delivering slow, steady vitamin C release over 8 hours for all-day immune support.",in stock,new,20.00 USD,https://myshop-essentials.vercel.app/product.html?id=109745,https://www.amway.com/medias/109745-en-US-690px-01?context=bWFzdGVyfGltYWdlc3w5MDgyNHxpbWFnZS9wbmd8aW1hZ2VzL2hiNC9oMjEvOTQ0ODE3NDA1OTU1MC5wbmd8YTQ1ZjhkMDU3ZGYxYmUwNjJmMzdlNWY1MzU4ZDJhMTNiNGY3Yzk3OTdlNDIyZWIwN2UwNDJmNmZjMTZmOWRkOQ,Nutrilite,Vitamins & Supplements
119630D,Artistry Flora Chic Eau de Parfum Spray,"A modern, long-lasting floral eau de parfum with top notes of French Clementine, mandarin, and sweet orange, crafted by fragrance house Givaudan.",in stock,new,99.00 USD,https://myshop-essentials.vercel.app/product.html?id=119630D,https://www.amway.com/medias/119630D-en-US-690px-01?context=bWFzdGVyfGltYWdlc3wxMTMzMTd8aW1hZ2UvcG5nfGltYWdlcy9oNWUvaGVlLzkzNTUyMzg1MDY1MjYucG5nfGMzODBmYTJhNjk1NDVhNGUzNjU4OTc1MjUwZWI4MTA0N2JlODBhMmM5Yzc3NDNjZGJhZWE3NDVlOTYzNjc2NDQ,Artistry,Fragrances
